iced-coffee,Iced Espresso Classics - Caffe Mocha,8,140,2.5,21,85,,,
iced-coffee,Iced Espresso Classics - Caramel Macchiato,8,130,2.5,19,85,,,
iced-coffee,Nitro Cold Brew,12,5,0,0,215,Tall,,
iced-coffee,Nitro Cold Brew,16,5,0,0,280,Grande,,
iced-coffee,Nitro Cold Brew with Cascara Cold Foam,12,60,0,12,200,Tall,,
iced-coffee,Nitro Cold Brew with Cascara Cold Foam,16,80,0,18,270,Grande,,
iced-coffee,Nitro Cold Brew with Sweet Cream,12,70,5,4,200,Tall,,
iced-coffee,Nitro Cold Brew with Sweet Cream,16,70,5,4,265,Grande,,
iced-coffee,Starbucks® Cold Brew Coffee,12,5,0,0,155,Tall,,
iced-coffee,Starbucks® Cold Brew Coffee,16,5,0,0,205,Grande,,
iced-coffee,Starbucks® Cold Brew Coffee,24,5,0,0,310,Venti Iced,,
iced-coffee,Starbucks® Cold Brew Coffee,30,5,0,0,360,Trenta Iced,,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,12,15,1,1,155,Tall,Almond,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,12,20,1,2,155,Tall,Coconut,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,12,20,0,2,155,Tall,Nonfat milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,12,30,1.5,2,155,Tall,Whole Milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,12,25,1,2,155,Tall,2% Milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,12,25,1,2,155,Tall,Soy (United States),
iced-coffee,Starbucks® Cold Brew Coffee with Milk,16,20,1,1,205,Grande,Almond,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,16,25,1.5,2,205,Grande,Coconut,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,16,25,0,3,205,Grande,Nonfat milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,16,40,2,3,205,Grande,Whole Milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,16,35,1.5,3,205,Grande,2% Milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,16,35,1,3,205,Grande,Soy (United States),
iced-coffee,Starbucks® Cold Brew Coffee with Milk,24,30,1.5,1,310,Venti Iced,Almond,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,24,40,2.5,3,310,Venti Iced,Coconut,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,24,40,0,5,310,Venti Iced,Nonfat milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,24,70,3.5,5,310,Venti Iced,Whole Milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,24,60,2,5,310,Venti Iced,2% Milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,24,60,1.5,5,310,Venti Iced,Soy (United States),
iced-coffee,Starbucks® Cold Brew Coffee with Milk,30,40,2,2,360,Trenta Iced,Almond,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,30,50,3,4,360,Trenta Iced,Coconut,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,30,50,0,7,360,Trenta Iced,Nonfat milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,30,90,4.5,6,360,Trenta Iced,Whole Milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,30,70,2.5,6,360,Trenta Iced,2% Milk,
iced-coffee,Starbucks® Cold Brew Coffee with Milk,30,70,2,7,360,Trenta Iced,Soy (United States),
iced-coffee,Vanilla Sweet Cream Cold Brew,30,210,11,26,320,Trenta Iced,,
iced-coffee,Vanilla Sweet Cream Cold Brew,12,90,5,9,145,Tall,,
iced-coffee,Vanilla Sweet Cream Cold Brew,16,110,5,14,185,Grande,,
iced-coffee,Vanilla Sweet Cream Cold Brew,24,200,11,23,275,Venti Iced,,
refreshers,Pink Drink,12,110,2,19,35–45,Tall,,
refreshers,Pink Drink,16,140,2.5,24,45–55,Grande,,
refreshers,Pink Drink,24,200,4,35,70–85,Venti Iced,,
refreshers,Pink Drink,30,270,5,48,90–110,Trenta Iced,,
refreshers,Strawberry Acai Lemonade Starbucks Refreshers® ,12,110,0,24,35–45,Tall,,
refreshers,Strawberry Acai Lemonade Starbucks Refreshers® ,16,140,0,32,45–55,Grande,,
refreshers,Strawberry Acai Lemonade Starbucks Refreshers® ,24,200,0,47,70–85,Venti Iced,,
refreshers,Strawberry Acai Lemonade Starbucks Refreshers® ,30,280,0,63,90–110,Trenta Iced,,
refreshers,Strawberry Acai Starbucks Refreshers™ Beverage,12,80,0,16,35–45,Tall,,
refreshers,Strawberry Acai Starbucks Refreshers™ Beverage,16,90,0,20,45–55,Grande,,
refreshers,Strawberry Acai Starbucks Refreshers™ Beverage,24,130,0,30,70–85,Venti Iced,,
refreshers,Strawberry Acai Starbucks Refreshers™ Beverage,30,190,0,41,90–110,Trenta Iced,,
refreshers,Very Berry Hibiscus Lemonade Starbucks Refreshers® ,12,90,0,21,35–45,Tall,,
refreshers,Very Berry Hibiscus Lemonade Starbucks Refreshers® ,16,120,0,25,45–55,Grande,,
refreshers,Very Berry Hibiscus Lemonade Starbucks Refreshers® ,20,170,0,39,70–85,Venti Iced,,
