iced-coffee,Starbucks® Cold Brew Coffee with Milk,90,6,4.5
iced-coffee,Starbucks® Cold Brew Coffee with Milk,70,6,2.5
iced-coffee,Starbucks® Cold Brew Coffee with Milk,70,7,2
iced-coffee,Vanilla Sweet Cream Cold Brew,210,26,11
iced-coffee,Vanilla Sweet Cream Cold Brew,90,9,5
iced-coffee,Vanilla Sweet Cream Cold Brew,110,14,5
iced-coffee,Vanilla Sweet Cream Cold Brew,200,23,11
refreshers,Pink Drink,110,19,2
refreshers,Pink Drink,140,24,2.5
refreshers,Pink Drink,200,35,4
refreshers,Pink Drink,270,48,5
refreshers,Strawberry Acai Lemonade Starbucks Refreshers® ,110,24,0
refreshers,Strawberry Acai Lemonade Starbucks Refreshers® ,140,32,0
refreshers,Strawberry Acai Lemonade Starbucks Refreshers® ,200,47,0
refreshers,Strawberry Acai Lemonade Starbucks Refreshers® ,280,63,0
refreshers,Strawberry Acai Starbucks Refreshers™ Beverage,80,16,0
refreshers,Strawberry Acai Starbucks Refreshers™ Beverage,90,20,0
refreshers,Strawberry Acai Starbucks Refreshers™ Beverage,130,30,0
refreshers,Strawberry Acai Starbucks Refreshers™ Beverage,190,41,0
refreshers,Very Berry Hibiscus Lemonade Starbucks Refreshers® ,90,21,0
refreshers,Very Berry Hibiscus Lemonade Starbucks Refreshers® ,120,25,0
refreshers,Very Berry Hibiscus Lemonade Starbucks Refreshers® ,170,39,0
refreshers,Very Berry Hibiscus Lemonade Starbucks Refreshers® ,240,53,0
refreshers,Very Berry Hibiscus Starbucks Refreshers™ Beverage,130,28,0
refreshers,Very Berry Hibiscus Starbucks Refreshers™ Beverage,50,11,0
refreshers,Very Berry Hibiscus Starbucks Refreshers™ Beverage,70,14,0
refreshers,Very Berry Hibiscus Starbucks Refreshers™ Beverage,90,20,0
refreshers,Violet Drink,90,15,2
refreshers,Violet Drink,110,19,3
refreshers,Violet Drink,160,28,4
refreshers,Violet Drink,230,39,6
evolution-fresh,Evolution Fresh® Orange,170,35,0
evolution-fresh,Evolution Fresh® Organic Defense Up,170,37,0
evolution-fresh,Evolution Fresh® Organic Green Devotion,35,5,0
evolution-fresh,Evolution Fresh® Organic Super Fruit Greens,180,36,0
iced-tea,Nitro Lemon Fog,180,18,10
iced-tea,Nitro Lemon Fog,260,25,16
iced-tea,Nitro Lemon Fog,320,35,18
iced-tea,Teavana® Shaken Iced Black Tea,70,19,0
iced-tea,Teavana® Shaken Iced Black Tea,30,8,0
iced-tea,Teavana® Shaken Iced Black Tea,45,11,0
iced-tea,Teavana® Shaken Iced Black Tea,60,16,0
