Hot Breakfast,"Spinach, Feta & Cage Free Egg White Breakfast Wrap",280,8,20,830,34,4,5,20
"Sandwiches, Paninis & Salads",Baja Black Bean Veggie Wrap,570,22,40,1300,73,7,5,21
"Sandwiches, Paninis & Salads",Chicken & Double-Smoked Bacon,620,26,110,1460,65,3,11,31
"Sandwiches, Paninis & Salads",Chicken Caprese,500,18,65,900,58,3,3,28
"Sandwiches, Paninis & Salads",Crispy Grilled Cheese Sandwich,540,29,75,1060,47,4,1,21
"Sandwiches, Paninis & Salads",Ham & Swiss Panini,490,24,80,1250,42,0,2,25
"Sandwiches, Paninis & Salads",Tomato & Mozzarella,350,13,20,580,42,3,2,15
"Sandwiches, Paninis & Salads",Turkey Pesto Panini,540,21,70,1190,55,3,3,33
"Yogurt, Fruit & Spreads",Avocado Spread,90,8,0,210,5,4,0,1
"Yogurt, Fruit & Spreads",Berry Trio Parfait,240,2.5,5,125,39,3,26,14
"Yogurt, Fruit & Spreads",Fresh Blueberries and Honey Greek Yogurt Parfait,240,2.5,5,100,42,2,29,14
"Yogurt, Fruit & Spreads",Justin's Chocolate Hazelnut Butter,180,14,0,65,12,3,7,4
"Yogurt, Fruit & Spreads",Justin's Classic Almond Butter,190,18,0,0,6,3,1,7
"Yogurt, Fruit & Spreads",Lemon Crunch Yogurt Parfait,330,12,65,90,42,1,29,14
"Yogurt, Fruit & Spreads",Mango & Coconut Yogurt Bowl,250,6,5,60,34,3,26,16
"Yogurt, Fruit & Spreads",Vegan Superberry Açaí,340,12,55,140,55,8,262,6
